e66ca1d9-98f	B	Bedingung: pip install wird ausserhalb eines aktiven .venv (VIRTUAL_ENV unset bzw. sys.prefix==sys.base_prefix) aufgerufen, ohne Sprachmodell pruefbar.
ec7b14b9-ce2	B	Bedingung: Test-Discovery liefert einen Pfad, der .worktrees/ oder _legacy/ enthaelt, deterministisch per String-Match pruefbar.
6e77f7e0-a63	C	Arbeitsweisen-Empfehlung fuer den Agenten selbst (Skript-Datei statt Inline), kein Code-Zustand im Repo pruefbar.
L-f4eb45	C	Faktisches Ereignisprotokoll eines BSI-Sync-Laufs, keine wiederkehrende Bedingung.
L-71fd3a	C	Architektur-Uebersicht ueber fehlende Verifikation in zwei Apps, Beurteilung "kritischer Pfad" ist Urteil, kein generischer Test.
L-6b3084	C	Prozessempfehlung (Walkthrough nach Feature-Bloecken fahren), keine Code-Bedingung.
44c4a08f-3d2	B	Bedingung: eine als Future<bool> deklarierte Funktion enthaelt rethrow/unbehandelten throw statt return false, per Lint/AST deterministisch erkennbar.
L-4ab9b0	B	Bedingung: Widget setzt Button-/Card-Hoehe als Zahlenliteral statt DesignTokens.buttonHeight, per Regex/AST-Scan erkennbar.
L-021f62	C	Herleitung der richtigen Schwelle aus Hardware-Physik ist Urteilssache, je Sensor verschieden.
L-bbe552	C	Tatsachenbehauptung ueber Verhalten fremder ELM327-Klon-Dongles.
L-8054ae	C	Sammlung von Tatsachen ueber Claude-Code-Hook-Verhalten und SQLite-FTS5-Parsing, keine Repo-Bedingung.
L-0dec26	B	Bedingung: ein im Backend als required markiertes Feld hat kein entsprechendes id/name im zugehoerigen Formular, per Diff pruefbar.
L-1ecb0f	B	Bedingung: erzeugter PDF-Text enthaelt Platzhalter-String (z.B. "manuell ergaenzen") statt echter Pflichtangabe, per Textextraktion+Assert pruefbar.
L-b6fbc4	B	Bedingung: setState(() => x = y) mit Future-typisiertem y (Arrow-Body statt Block-Body), per Lint/AST erkennbar.
L-31ae3b	B	Bedingung: Migrationstest enthaelt hartkodierten CREATE-TABLE-SQL-String statt Migrator.createTable()-Subklasse, per Grep in Testdateien pruefbar.
L-1b46fe	B	Bedingung: eine Guard-/Schutzfunktion (z.B. guard_write_for_pii) hat ausserhalb von Tests null Aufrufer, per Grep/Call-Graph pruefbar.
L-18cec3	B	Bedingung: kein per grep bestaetigter passender Test-Treffer zu den genannten Dateien in diesem Repo gefunden, daher ohne Fundstelle B statt A; Kern ist aber die Regel "Sicherheits-Selbsttest muss in pytest/CI-Sammlung liegen" pro Modul pruefbar.
L-657b03	C	Tatsachenbehauptung ueber Default-Aufloesung des mobile_scanner-Packages.
L-1026ad	C	Kryptografische Design-Bewertung (Trust-Anchor im selben Payload) ist Urteilssache je Protokoll.
L-ff4a53	C	Umgebungsfakt (Swift-Toolchain-Pfad auf einer bestimmten Maschine).
L-e2758a	C	Einmaliger historischer Befund zur Branch-Topologie, keine wiederkehrende Bedingung.
L-79cb81	C	Einmaliger Befund einer falschen Testzahl im Handoff, Prozessregel "Suite selbst laufen lassen" ist keine Code-Bedingung.
L-cebc03	B	Bedingung: nach einem Testlauf zeigt git status neue/geaenderte Dateien unter docs/openlehr/reports/, per CI-Check pruefbar.
L-c0e910	B	Bedingung: Datei ruft showDialog/AlertDialog direkt auf statt ActionScreen-Helper, per Lint/Grep pruefbar.
L-43c65c	C	Migrations-vs-Fresh-Install-Unterscheidung bei Default-Aenderungen ist je Feature semantisch verschieden, kein generischer Check.
L-69217d	B	Bedingung: eine Tabelle wird per SELECT in Produktionscode gelesen, hat aber repoweit keinen INSERT/Schreib-Aufrufer, per Grep pruefbar.
L-943948	B	Bedingung: kein per grep bestaetigter Test-Treffer in diesem Repo gefunden, daher B statt A; Kern-Regel "Safe-Marker darf Gefahren-Muster nie uebertrumpfen bei Kombination" ist per Kombinations-Testfall pruefbar.
L-7b2c20	B	Bedingung: check_disjoint_from_eval_set() ruft den Eval-Generator erneut auf statt eine persistierte Fixture-Datei einzulesen, per Code-/Call-Analyse pruefbar.
L-5c3410	C	Tatsache ueber macOS-Electron-Umgebungsvererbung (GUI-Apps sourcen kein .zshrc).
L-702556	B	Bedingung: PRODUCT_BUNDLE_IDENTIFIER im Xcode-Projekt weicht von der bei App Store Connect registrierten Bundle-ID ab, per API-Abgleich pruefbar.
L-4f3d6c	B	Bedingung: extrahierter Geldbetrag (netto*MwSt bzw. Stueck*Preis) stimmt nicht mit dem im Dokument stehenden Summenwert ueberein, per Nachrechnung pruefbar.
L-97f8bf	C	Beurteilung der inhaltlichen Vollstaendigkeit eines Portal-Archivs gegen gesetzliche Pflichtdokumente ist Urteilssache.
L-48d8c8	C	Tatsache ueber die URL-Struktur von gesetze-im-internet.de.
L-dc0f44	C	Methodenbeschreibung einer Pseudonymisierungs-Pipeline, Vorgehensempfehlung statt pruefbare Bedingung.
L-1e7187	B	Bedingung: generiertes SVG/XML besteht xmllint --noout nicht bzw. enthaelt unescapte '&'/'<'/'>' in Text/Attributen, deterministisch pruefbar.
L-9b0aaa	B	Bedingung: nutzersichtbarer Text enthaelt Konsil-Rollenbegriffe (Runde/Experten/Fachleute/Sondervotum) ohne Simulationshinweis, per Wortmuster-Scan pruefbar; genannter wording_check.sh nicht im Repo bestaetigt, daher B statt A.
L-63ece3	B	Bedingung: Anon-Output (Inhalt oder Dateiname) enthaelt noch einen bekannten Klarnamen in Gross-/Apostroph-Variante, per Grep pruefbar.
L-14a742	C	Arbeitsweisen-Empfehlung fuer Bash-Tool-Sandbox bei Codesign-Schritten, kein Repo-Zustand.
L-e728c6	C	Abwaegung, ob ein Wake-Signal vertrauenswuerdig genug fuer UI-Feedback ist, ist kontextabhaengiges Design-Urteil.
L-3b7506	B	Bedingung: flutter-build-ipa-Ausgabe enthaelt die Warnung 'App icon is set to the default placeholder icon', per Log-Grep vor Upload pruefbar.
L-721faf	C	Korrektur eines fruehereren Fehlschlusses, einmaliger Sachverhalt.
L-abd124	B	Bedingung: gerendertes HTML einer Seite enthaelt 0 Navigations-Links (Smoke-Test), deterministisch pruefbar.
L-08dd0b	B	Bedingung: extrahiertes Vertragsdokument enthaelt 0 Treffer der Soll-Objektkennung (Adresse/Aktenzeichen), per Grep pruefbar.
L-a9ccd0	C	Beurteilung, ob ein Timeout-Pfad "destruktiv" ist, erfordert Verstaendnis der Aktion, kein generischer Check.
L-30aa02	B	Bedingung: Trip-End-Vorschlag wird ausgeloest, waehrend CarPlay/AndroidAuto isConnected==true ist, per Test simulierbar.
L-154025	C	Dokumentierte Workaround-Technik (JWT direkt gegen ASC-REST-API), kein wiederkehrender Repo-Zustand.
L-230c75	C	Vollstaendigkeit eines Grep-Sweeps nach jedem Tote-Tabelle-Fund ist Prozessdisziplin, nicht automatisch verifizierbar ohne Judgment ueber "Familie".
L-a41de9	B	Bedingung: ein in Commit-Message als geguardet behauptetes Feld hat keinen zugehoerigen Fail-Test; genannter Test in diesem Verzeichnis nicht per Grep bestaetigt, daher B statt A.
L-320d0a	C	Fairness-Bewertung von Vergleichsrechnungen (unbepreiste Posten als Risiko werten) ist inhaltliches Urteil.
L-3cbd18	C	Methodenempfehlung fuer Multi-Agenten-Konsile, Prozessrichtlinie ohne Code-Bedingung.
L-7d69ee	B	Bedingung: macOS-Entitlements haben app-sandbox=true ohne keychain-access-groups, waehrend flutter_secure_storage als Dependency vorhanden ist, statisch pruefbar.
L-78dee4	C	Einmaliger Infrastruktur-Befund zur hub/phoenix-Worktree-Struktur.
L-319e01	B	Bedingung: nach Fahrt-Start mit Vorlauf-Distanz X ist currentKm != kmStart+X, per Test pruefbar; genannter Test nicht per Grep im Repo bestaetigt, daher B statt A.
L-ef8c01	B	Bedingung: nach Fahrt-Ende im Landscape-/Auto-Caller erscheint kein TripCompletionSheet, per Test pruefbar; genannter Test nicht per Grep im Repo bestaetigt, daher B statt A.
L-36409a	B	Bedingung: eine Komponente/Methode hat ausserhalb von Tests null Aufrufer im Produktionspfad, per Grep/Call-Graph pruefbar.
L-093dc4	B	Bedingung: unauthentifizierter Client erhaelt Zugriff auf MediaMTX-Pfad (publish/read) ohne Token, per Integrationstest pruefbar.
L-aa4995	B	Bedingung: externe Referenz (z.B. Kalender-Marker) auf eine Fahrt loest nach updateVersioned nicht mehr auf, per Regressionstest pruefbar.
L-165986	B	Bedingung: optionale native Abhaengigkeit (z.B. EventKit) wird auf Modulebene statt lazy im Konstruktor importiert, per AST-Scan pruefbar.
L-5b08a7	C	Tatsachen ueber Recherche-Werkzeuge (reddit blockt WebFetch, Hersteller-Latenzangaben unbelegt).
